,row.identity,Pvalues,Standardized_Difference_Control_minus_Heated,Actual_Difference_Control_minus_Heated,Control_Average,Heated_Average,soil_type
382,TG(59:3),0.376127087,-0.634754645,-8622.781511,55577.42318,64200.20469,Organic
122,PG(16:0/16:1),0.376256679,0.484029191,356206.1294,930698.6771,574492.5477,Mineral
100,PE(18:1/18:2)_B,0.376700298,-0.388419357,-1663448.823,2667948.865,4331397.688,Mineral
220,DGTSA(16:0/16:2),0.378523429,0.614216165,36869.91903,168644.3659,131774.4469,Organic
299,PE-15:0/15:0),0.382979365,-0.635176497,-895691.6291,1205221.896,2100913.525,Organic
168,TG(54:1),0.383184828,0.548317873,116586.9359,482508.8985,365921.9625,Mineral
130,PG(17:0/17:0),0.385020815,0.488716311,149411.7143,442159.944,292748.2297,Mineral
187,TG(58:3),0.385476136,0.40655267,43697.62656,255677.1407,211979.5141,Mineral
350,TG(52:2),0.385989544,-0.585479263,-979444.0333,6499513.167,7478957.2,Organic
114,PG(15:0/16:0)_A,0.386014175,0.471520468,77100.90073,241366.8177,164265.917,Mineral
119,PG(15:0/17:1),0.387711574,0.479105614,130517.1132,360320.3724,229803.2592,Mineral
131,PG(17:0/17:1),0.392727274,0.487278188,76262.59794,206987.9814,130725.3835,Mineral
325,PG(18:0/18:1),0.40161866,0.522661776,83333.81001,318114.9147,234781.1047,Organic
229,DGTSA(16:1/18:1)_B,0.41059578,0.517766091,106540.574,688706.4115,582165.8375,Organic
266,PE(15:0/17:0),0.417354963,-0.587438599,-1122729.64,1874775.511,2997505.15,Organic
284,PE(16:1/19:1)_B,0.422551998,-0.579904858,-182293.0026,392428.3724,574721.375,Organic
59,PC(18:1/18:2)_B,0.423717505,-0.341748258,-1072972.283,3069072.917,4142045.2,Mineral
121,PG(16:0/16:0),0.42941055,0.437649666,86311.95814,254970.9427,168658.9846,Mineral
142,TG(47:2),0.430053359,0.513513424,106779.1365,741401.4115,634622.275,Mineral
323,PG(17:0/17:1),0.430273813,0.489880478,57492.72188,192790.6563,135297.9344,Organic
66,PE(13:0/15:0),0.43041597,0.456848599,130297.1394,411832.284,281535.1445,Mineral
248,PC(18:1/18:1)_A,0.432845215,0.528185258,50253.76148,409640.9896,359387.2281,Organic
170,TG(54:3),0.433471867,0.377588175,1592382.1,16450000,14857617.9,Mineral
273,PE(16:0/17:0),0.437245387,-0.551949662,-310007.0047,456814.4766,766821.4813,Organic
294,PE(18:1/19:1)_B,0.443894931,-0.521263041,-856343.5833,3321787.792,4178131.375,Organic
171,TG(54:4),0.445262975,0.335907563,1154263.567,13616666.67,12462403.1,Mineral
296,PE(19:1/19:1),0.451892591,-0.499827526,-733927.0208,2934027.104,3667954.125,Organic
378,TG(58:2),0.454297458,0.489933998,47767.15732,304435.3542,256668.1969,Organic
298,PE(36:1),0.454885028,-0.51173851,-193923.0479,575511.8959,769434.9438,Organic
33,DGTSA(16:0/18:4),0.456927851,0.48883783,56375.36811,132424.8587,76049.49062,Mineral
188,TG(58:9),0.465166049,0.441141176,35153.56719,277162.0625,242008.4953,Mineral
82,PE(16:0/17:1),0.470046013,0.439143958,1285821.25,4432957.125,3147135.875,Mineral
318,PG(16:0/19:1),0.472107297,0.453856644,158520.4148,751557.3867,593036.9719,Organic
242,PC(0:0/18:1),0.472240917,0.491584876,63838.08492,231012.5209,167174.4359,Organic
290,PE(18:1/18:1),0.474038923,-0.496769324,-2126634.433,6831352.417,8957986.85,Organic
310,PG(15:0/17:0),0.474458166,0.445896903,116069.4721,475929.1315,359859.6594,Organic
334,TG(47:2),0.477941659,0.451466964,114729.9833,777465.5521,662735.5688,Organic
281,PE(16:1/17:1)_B,0.480225772,0.474825083,225783.7698,977503.8698,751720.1,Organic
141,TG(47:1),0.483442635,0.473981587,83477.70468,478552.6016,395074.8969,Mineral
72,PE(15:0/16:1)_A,0.488226429,0.383263036,2308645.258,10883583.08,8574937.825,Mineral
267,PE(15:0/17:1),0.48968921,-0.475309259,-957623.0125,3922535.188,4880158.2,Organic
364,TG(54:5),0.496751764,-0.474749452,-675410.6167,8495128.583,9170539.2,Organic
231,DGTSA(17:0/17:0),0.496762657,-0.435514411,-132514.2354,1138789.365,1271303.6,Organic
374,TG(56:7),0.497397136,0.442736356,28863.17293,368138.198,339275.025,Organic
286,PE(17:0/18:1),0.499256288,-0.474207041,-466399.2208,1136537.385,1602936.606,Organic
88,PE(16:1/17:1)_A,0.501412594,0.3778723,555232.1708,2635107.708,2079875.538,Mineral
285,PE(17:0/17:0),0.502394168,-0.47229826,-597862.2375,1409610.125,2007472.363,Organic
199,DG(16:0/18:1/0:0),0.504101962,0.41974936,60423.98958,625786.8021,565362.8125,Organic
16,DGDG(15:0/15:0),0.50460898,-0.301086078,-47437.82864,375890.6433,423328.4719,Mineral
111,PE-17:0/17:0),0.506034949,-0.34044884,-551054.4271,1612752.448,2163806.875,Mineral
376,TG(58:1),0.507735381,-0.433010615,-6950.689195,50616.30143,57566.99063,Organic
218,DGTSA(16:0/16:1)_A,0.508757038,-0.426454141,-69647.825,723395.3125,793043.1375,Organic
51,PC(15:0/16:1),0.510951509,0.370557601,115269.1427,692816.1927,577547.05,Mineral
207,DGDG(14:0/18:1);DGDG(15:0/17:1),0.513610399,-0.407432031,-59524.7052,545654.2448,605178.95,Organic
235,DGTSA(18:1/18:1),0.514864859,0.424461078,666983.1333,5919137.833,5252154.7,Organic
69,PE(14:1/15:0);PE(13:0/16:1),0.51578269,0.375070813,58454.10962,223083.8464,164629.7367,Mineral
240,HexCer(d18:2/18:1),0.51672832,0.397503864,106137.4531,341106.3594,234968.9063,Organic
101,PE(18:1/19:1)_A,0.51851327,0.335619949,476415.3677,2149760.427,1673345.059,Mineral
102,PE(18:1/19:1)_B,0.518934452,0.35182712,1014380.454,5242309.292,4227928.838,Mineral
77,PE(15:0/18:0);PE(16:0/17:0),0.521071272,-0.319347297,-311127.1146,757731.7526,1068858.867,Mineral
288,PE(17:1/18:1);PE(16:1/19:1)_A,0.527694888,-0.418581658,-216904.5573,892535.1927,1109439.75,Organic
146,TG(48:2),0.536197254,0.296060776,1110292.85,6028066.25,4917773.4,Mineral
50,PC(0:0/18:1),0.540573598,0.373037173,75774.61185,271827.5365,196052.9246,Mineral
118,PG(15:0/17:0),0.541215138,0.308607614,104533.9427,482072.9896,377539.0469,Mineral
26,DGTSA(16:0/16:1)_A,0.543341829,0.361492336,143607.8916,1133263.948,989656.0563,Mineral
92,PE(16:1/19:1)_B,0.545592541,0.337735853,114345.0983,637764.8281,523419.7298,Mineral
136,PG(19:1/19:1),0.545987562,0.310146465,159721.2325,636942.2865,477221.0539,Mineral
300,PE-15:0/15:1)_A,0.546504824,-0.418860051,-331763.8729,978112.6771,1309876.55,Organic
346,TG(51:1),0.547935316,-0.37114168,-30768.20782,312246.9922,343015.2,Organic
297,PE(35:2),0.556197499,0.375645375,460854.8625,3040074.313,2579219.45,Organic
6,DG(16:0/17:0/0:0),0.560477722,-0.280200121,-37339.02083,292621.2526,329960.2735,Mineral
96,PE(17:1/18:1);PE(16:1/19:1)_A,0.561042042,0.359229361,391797.6469,1713835.531,1322037.884,Mineral
78,PE(15:1/16:1)_A,0.561243789,0.349093776,94482.5625,454104.8906,359622.3281,Mineral
115,PG(15:0/16:0)_B,0.563739176,0.323513716,215263.7815,936556.1432,721292.3617,Mineral
223,DGTSA(16:0/18:3)_A,0.565907983,0.402253951,194889.648,765330.9793,570441.3313,Organic
373,TG(56:6)_B,0.56819922,-0.365261537,-26256.89165,363989.8959,390246.7875,Organic
275,PE(16:0/18:1);PE(15:0/19:1),0.571701593,-0.410411246,-640930.65,2066898.375,2707829.025,Organic
112,PE(P-16:0/16:1),0.582547317,0.273184542,232920.676,1217880.448,984959.7719,Mineral
64,PC(19:1/19:1),0.585805237,0.275652515,3336666.667,38966666.67,35630000,Mineral
68,PE(14:0/16:1);PE(15:0/15:1)_B,0.586120355,0.287622543,297888.301,1406663.604,1108775.303,Mineral
125,PG(16:0/18:1);PG(16:1/18:0),0.589046434,0.270607132,448974.4583,1880961.146,1431986.688,Mineral
332,TG(46:3),0.589296957,0.337988936,20444.77448,209858.5651,189413.7906,Organic
195,CoQ10,0.590610663,-0.36434282,-64271.86052,1208233.802,1272505.663,Organic
