"","row.identity","charge","type","frequency"
"408","DGDG(15:0/17:0)","POS","C_M",821565.5
"409","DGDG(15:0/17:0)","POS","C_M",1111601.75
"410","DGDG(15:0/17:0)","POS","C_M",757615.125
"411","DGDG(15:0/17:0)","POS","C_M",643593.75
"412","DGDG(15:0/17:0)","POS","H_M",783460.75
"413","DGDG(15:0/17:0)","POS","H_M",688420.3125
"414","DGDG(15:0/17:0)","POS","H_M",954810.1875
"415","DGDG(15:0/17:0)","POS","H_M",728547.25
"416","DGDG(15:0/17:0)","POS","H_M",302187.3125
"417","DGDG(15:0/17:0)","POS","H_M",1767081.75
"418","DGDG(15:0/17:0)","POS","H_M",953361.1875
"419","DGDG(15:0/17:0)","POS","H_M",1063977
"420","DGDG(15:0/17:0)","POS","H_M",773168.9375
"421","DGDG(15:0/17:0)","POS","H_M",1638333.875
"422","DGDG(15:0/17:0)","POS","C_O",347106.8125
"423","DGDG(15:0/17:0)","POS","C_O",423213.875
"424","DGDG(15:0/17:0)","POS","C_O",186698.1875
"425","DGDG(15:0/17:0)","POS","C_O",449793.0938
"426","DGDG(15:0/17:0)","POS","C_O",512127.125
"427","DGDG(15:0/17:0)","POS","C_O",188868.2031
"428","DGDG(15:0/17:0)","POS","H_O",594693.4375
"429","DGDG(15:0/17:0)","POS","H_O",367083.6875
"430","DGDG(15:0/17:0)","POS","H_O",473047.0625
"431","DGDG(15:0/17:0)","POS","H_O",933108.375
"432","DGDG(15:0/17:0)","POS","H_O",496922.0625
"433","DGDG(15:0/18:1)","POS","C_M",189322.2969
"434","DGDG(15:0/18:1)","POS","C_M",215783.625
"435","DGDG(15:0/18:1)","POS","C_M",331971.7813
"436","DGDG(15:0/18:1)","POS","C_M",439093.1875
"437","DGDG(15:0/18:1)","POS","C_M",406951.625
"438","DGDG(15:0/18:1)","POS","C_M",258152.9531
"439","DGDG(15:0/18:1)","POS","H_M",320964.0625
"440","DGDG(15:0/18:1)","POS","H_M",269596.875
"441","DGDG(15:0/18:1)","POS","H_M",297133.6563
"442","DGDG(15:0/18:1)","POS","H_M",256470.3438
"443","DGDG(15:0/18:1)","POS","H_M",134983.5
"444","DGDG(15:0/18:1)","POS","H_M",409232.5
"445","DGDG(15:0/18:1)","POS","H_M",305055.375
"446","DGDG(15:0/18:1)","POS","H_M",578941.125
"447","DGDG(15:0/18:1)","POS","H_M",450631.2188
"448","DGDG(15:0/18:1)","POS","H_M",754513.4375
"449","DGDG(15:0/18:1)","POS","C_O",222334
"450","DGDG(15:0/18:1)","POS","C_O",243355.1406
"451","DGDG(15:0/18:1)","POS","C_O",121165.25
"452","DGDG(15:0/18:1)","POS","C_O",320585.0938
"453","DGDG(15:0/18:1)","POS","C_O",394888.375
"454","DGDG(15:0/18:1)","POS","C_O",161824.5781
"455","DGDG(15:0/18:1)","POS","H_O",289806.6875
"456","DGDG(15:0/18:1)","POS","H_O",135066.5156
"457","DGDG(15:0/18:1)","POS","H_O",193910.2969
"458","DGDG(15:0/18:1)","POS","H_O",433930.0938
"459","DGDG(15:0/18:1)","POS","H_O",269434.5625
